request_id,barangay,municipality,province,sitio,request_type,urgency_level,severity_level,impact_scope,location_type,time_reported,weather_condition,past_similar_reports,ml_priority,final_priority
405,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Normal,Moderate,82,School Zone,Morning,Storm,1,High,High
406,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Low,Minor,40,Commercial Area,Afternoon,Normal,5,High,High
407,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Normal,Moderate,54,Residential Area,Morning,Normal,4,High,High
408,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Low,Moderate,11,School Zone,Afternoon,Rainy,0,Moderate,High
409,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Normal,Minor,77,Highway,Night,Storm,3,High,High
410,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Flooding,Normal,Minor,25,Residential Area,Morning,Normal,3,Moderate,Moderate
411,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Low,Moderate,34,Public Facility,Night,Rainy,1,High,High
412,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Low,Minor,6,School Zone,Morning,Rainy,1,Low,High
413,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Normal,Minor,11,Highway,Afternoon,Normal,6,Moderate,Moderate
414,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Flooding,Low,Moderate,110,Commercial Area,Afternoon,Rainy,2,High,High
415,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Urgent,Severe,9,Commercial Area,Afternoon,Rainy,7,High,High
416,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Flooding,Low,Moderate,16,Highway,Morning,Storm,3,Moderate,High
417,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Power Outage,Low,Moderate,140,Highway,Night,Rainy,5,High,High
418,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Urgent,Moderate,145,School Zone,Morning,Rainy,3,High,High
419,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Public Safety Incident,Normal,Minor,8,Public Facility,Afternoon,Storm,3,Moderate,Moderate
420,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Garbage Collection,Low,Minor,41,Commercial Area,Night,Storm,0,High,High
421,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Flooding,Urgent,Moderate,57,School Zone,Morning,Storm,5,High,High
422,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Power Outage,Urgent,Minor,92,Public Facility,Night,Normal,3,High,High
423,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Urgent,Moderate,127,Residential Area,Morning,Normal,3,High,High
424,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Streetlight Repair,Low,Severe,57,Commercial Area,Night,Normal,2,High,High
425,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Power Outage,Urgent,Minor,88,Residential Area,Morning,Normal,2,High,High
426,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Power Outage,Urgent,Moderate,29,Highway,Night,Normal,5,Moderate,Moderate
427,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Normal,Minor,78,Highway,Night,Rainy,2,High,High
428,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Power Outage,Urgent,Severe,144,School Zone,Night,Storm,2,High,High
429,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Water Leakage,Normal,Severe,97,School Zone,Morning,Storm,0,High,High
430,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Flooding,Normal,Severe,147,Public Facility,Afternoon,Storm,3,High,High
431,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Power Outage,Low,Moderate,145,Residential Area,Morning,Rainy,5,High,High
432,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Power Outage,Urgent,Minor,43,Highway,Morning,Rainy,3,High,High
433,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Urgent,Minor,64,Residential Area,Night,Normal,0,High,High
434,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Flooding,Normal,Severe,99,Highway,Afternoon,Rainy,5,High,High
435,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Public Safety Incident,Normal,Minor,140,Public Facility,Night,Storm,3,High,High
436,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Normal,Minor,42,Commercial Area,Morning,Rainy,4,High,High
437,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Low,Moderate,27,School Zone,Night,Normal,1,Moderate,High
438,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Streetlight Repair,Urgent,Severe,87,Highway,Night,Normal,6,High,High
439,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Low,Minor,41,School Zone,Afternoon,Storm,4,High,High
440,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Streetlight Repair,Normal,Minor,73,Highway,Night,Storm,7,High,High
441,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Low,Moderate,40,Residential Area,Afternoon,Storm,7,High,High
442,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Flooding,Low,Minor,52,Commercial Area,Morning,Rainy,1,High,High
443,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Normal,Moderate,79,Residential Area,Night,Storm,6,High,High
444,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Flooding,Normal,Moderate,48,Highway,Morning,Rainy,7,High,High
445,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Water Leakage,Normal,Minor,120,Public Facility,Morning,Normal,1,High,High
446,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Tree Obstruction,Urgent,Moderate,22,Public Facility,Morning,Storm,0,Moderate,Moderate
447,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Public Safety Incident,Urgent,Moderate,100,Public Facility,Morning,Rainy,4,High,High
448,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Flooding,Normal,Severe,21,Residential Area,Afternoon,Normal,2,Moderate,Moderate
449,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Low,Minor,55,Residential Area,Night,Rainy,3,High,High
450,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Urgent,Moderate,38,Residential Area,Afternoon,Storm,6,High,High
451,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Public Safety Incident,Normal,Moderate,142,Residential Area,Night,Storm,6,High,High
452,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Normal,Minor,29,Residential Area,Night,Normal,4,Moderate,Moderate
453,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Tree Obstruction,Normal,Moderate,138,Highway,Night,Storm,7,High,High
454,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Flooding,Low,Moderate,10,Public Facility,Night,Storm,6,Moderate,High
455,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Garbage Collection,Normal,Moderate,10,Residential Area,Night,Rainy,4,Moderate,Moderate
456,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Water Leakage,Low,Moderate,96,Commercial Area,Afternoon,Rainy,1,High,High
457,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Low,Moderate,59,Commercial Area,Afternoon,Storm,6,High,High
458,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Low,Moderate,23,Highway,Night,Rainy,0,Moderate,Moderate
459,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Tree Obstruction,Low,Minor,132,School Zone,Night,Storm,0,High,High
460,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Low,Minor,45,School Zone,Morning,Rainy,0,High,High
461,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Power Outage,Urgent,Minor,93,Highway,Night,Rainy,1,High,High
462,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Low,Moderate,8,School Zone,Afternoon,Storm,5,Moderate,High
463,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Road Damage,Low,Moderate,89,Commercial Area,Morning,Rainy,0,High,High
464,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Garbage Collection,Urgent,Minor,42,School Zone,Night,Normal,4,High,High
465,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Urgent,Minor,105,Highway,Morning,Storm,2,High,High
466,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Low,Moderate,3,Commercial Area,Afternoon,Rainy,5,Moderate,Moderate
467,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Normal,Minor,118,Public Facility,Night,Rainy,1,High,High
468,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Power Outage,Urgent,Severe,2,Public Facility,Night,Storm,4,High,High
469,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Road Damage,Urgent,Minor,77,Commercial Area,Afternoon,Storm,5,High,High
470,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Water Leakage,Normal,Severe,71,School Zone,Morning,Storm,3,High,High
471,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Power Outage,Urgent,Moderate,15,School Zone,Night,Normal,7,Moderate,High
472,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Tree Obstruction,Normal,Moderate,76,Residential Area,Night,Storm,3,High,High
473,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Urgent,Severe,88,Commercial Area,Night,Rainy,2,High,High
474,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Public Safety Incident,Low,Moderate,143,School Zone,Night,Rainy,2,High,High
475,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Power Outage,Urgent,Minor,86,School Zone,Night,Rainy,6,High,High
476,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Normal,Moderate,85,Highway,Morning,Rainy,0,High,High
477,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Public Safety Incident,Urgent,Severe,150,School Zone,Night,Normal,6,High,High
478,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Flooding,Normal,Moderate,136,School Zone,Morning,Rainy,6,High,High
479,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Flooding,Normal,Minor,146,Residential Area,Afternoon,Rainy,2,High,High
480,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Public Safety Incident,Urgent,Minor,81,Commercial Area,Morning,Normal,2,High,High
481,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Low,Minor,126,Highway,Afternoon,Rainy,7,High,High
482,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Low,Minor,99,Commercial Area,Morning,Rainy,3,High,High
483,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Garbage Collection,Urgent,Minor,5,School Zone,Night,Rainy,4,Low,High
484,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Low,Moderate,34,School Zone,Morning,Normal,4,High,High
485,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Normal,Severe,75,Highway,Night,Normal,5,High,High
486,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Normal,Minor,126,Residential Area,Morning,Normal,2,High,High
487,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Flooding,Urgent,Minor,55,Residential Area,Afternoon,Storm,0,High,High
488,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Urgent,Moderate,97,Public Facility,Morning,Storm,1,High,High
489,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Low,Severe,6,Highway,Afternoon,Normal,4,Low,Low
490,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Urgent,Minor,122,Commercial Area,Afternoon,Storm,1,High,High
491,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Flooding,Normal,Severe,134,Highway,Morning,Storm,1,High,High
492,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Garbage Collection,Low,Minor,73,Public Facility,Morning,Rainy,3,High,High
493,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Flooding,Urgent,Moderate,92,Residential Area,Night,Rainy,3,High,High
494,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Streetlight Repair,Normal,Minor,124,Residential Area,Morning,Storm,7,High,High
495,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Road Damage,Low,Severe,39,Commercial Area,Night,Normal,7,High,High
496,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Road Damage,Normal,Moderate,76,School Zone,Morning,Rainy,5,High,High
497,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Road Damage,Normal,Severe,81,Residential Area,Morning,Normal,2,High,High
498,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Normal,Moderate,85,Residential Area,Afternoon,Rainy,2,High,High
499,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Normal,Moderate,30,Highway,Night,Rainy,6,Moderate,Moderate
500,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Streetlight Repair,Low,Minor,43,School Zone,Morning,Rainy,7,High,High
